Name,Stmts,Miss,Branch,BrPart,Cover
Lib\test\test_imghdr.py,105,97,16,0,7%
Lib\test\test_imp.py,294,279,44,0,4%
Lib\test\test_import\__init__.py,943,917,100,0,2%
Lib\test\test_importlib\__init__.py,4,1,0,0,75%
Lib\test\test_importlib\abc.py,36,11,4,0,72%
Lib\test\test_importlib\builtin\__init__.py,4,1,0,0,75%
Lib\test\test_importlib\builtin\test_finder.py,52,51,6,0,2%
Lib\test\test_importlib\builtin\test_loader.py,66,65,10,0,1%
Lib\test\test_importlib\data01\__init__.py,0,0,0,0,100%
Lib\test\test_importlib\extension\__init__.py,4,1,0,0,75%
Lib\test\test_importlib\extension\test_case_sensitivity.py,33,28,4,0,14%
Lib\test\test_importlib\extension\test_finder.py,21,20,6,0,4%
Lib\test\test_importlib\extension\test_loader.py,183,181,20,0,1%
Lib\test\test_importlib\extension\test_path_hook.py,11,10,4,0,7%
Lib\test\test_importlib\fixtures.py,127,65,30,0,55%
Lib\test\test_importlib\frozen\__init__.py,4,1,0,0,75%
Lib\test\test_importlib\frozen\test_finder.py,150,149,38,0,1%
Lib\test\test_importlib\frozen\test_loader.py,175,174,28,0,1%
Lib\test\test_importlib\import_\__init__.py,4,1,0,0,75%
Lib\test\test_importlib\import_\test___loader__.py,53,47,10,0,10%
Lib\test\test_importlib\import_\test___package__.py,96,93,16,0,3%
Lib\test\test_importlib\import_\test_api.py,97,96,20,0,1%
Lib\test\test_importlib\import_\test_caching.py,55,54,6,0,2%
