Name,Stmts,Miss,Cover
Lib\lib2to3\pgen2\tokenize.py,341,271,21%
Lib\lib2to3\pygram.py,19,0,100%
Lib\lib2to3\pytree.py,418,309,26%
Lib\lib2to3\refactor.py,448,382,15%
Lib\lib2to3\tests\__init__.py,7,3,57%
Lib\lib2to3\tests\data\fixers\myfixes\__init__.py,0,0,100%
Lib\lib2to3\tests\support.py,34,14,59%
Lib\lib2to3\tests\test_all_fixers.py,22,11,50%
Lib\lib2to3\tests\test_fixers.py,2776,2191,21%
Lib\lib2to3\tests\test_main.py,93,71,24%
Lib\lib2to3\tests\test_parser.py,412,259,37%
Lib\lib2to3\tests\test_pytree.py,370,327,12%
Lib\lib2to3\tests\test_refactor.py,243,197,19%
Lib\lib2to3\tests\test_util.py,317,253,20%
Lib\mailbox.py,1503,1264,16%
Lib\mailcap.py,185,168,9%
Lib\mimetypes.py,207,168,19%
Lib\modulefinder.py,497,447,10%
Lib\msilib\__init__.py,347,339,2%
Lib\netrc.py,146,129,12%
Lib\nntplib.py,534,521,2%
Lib\pickletools.py,498,330,34%
Lib\pipes.py,134,128,4%
Lib\plistlib.py,533,444,17%
Lib\poplib.py,209,156,25%
Lib\profile.py,289,246,15%
Lib\pstats.py,546,540,1%
Lib\pty.py,117,113,3%
Lib\py_compile.py,93,73,22%
Lib\pyclbr.py,179,153,15%
Lib\pydoc.py,1711,1520,11%
Lib\rlcompleter.py,111,91,18%
Lib\sched.py,65,41,37%
Lib\secrets.py,22,9,59%
Lib\shelve.py,111,79,29%
Lib\smtpd.py,609,600,1%
Lib\smtplib.py,514,416,19%
Lib\sndhdr.py,156,154,1%
Lib\socketserver.py,312,217,30%
Lib\statistics.py,488,403,17%
Lib\stringprep.py,65,36,45%
Lib\sunau.py,336,266,21%
Lib\symtable.py,162,86,47%
Lib\tabnanny.py,175,146,17%
Lib\tarfile.py,1485,1250,16%
Lib\telnetlib.py,377,265,30%
Lib\test\__init__.py,0,0,100%
Lib\test\_test_multiprocessing.py,4052,3270,19%
Lib\test\ann_module.py,40,9,78%
Lib\test\audiotests.py,271,232,14%
Lib\test\fork_wait.py,53,40,25%
Lib\test\inspect_fodder2.py,138,39,72%
Lib\test\inspect_fodder.py,56,20,64%
Lib\test\inspect_stock_annotations.py,19,6,68%
Lib\test\inspect_stringized_annotations.py,23,6,74%
Lib\test\inspect_stringized_annotations_2.py,2,0,100%
Lib\test\leakers\__init__.py,0,0,100%
